name,threads,size,branch-misses,branch-miss-rate,cache-references,cpu-clock,L1-icache-load-misses,cache-misses,cache-miss-rate,instructions,ipc,cycles,L1-dcache-loads,LLC-load-misses,branch-instructions,page-faults,real-time,single-thread-time,speedup
lu_noncontig,16,2048,3245227.0,1.184,12529797.4,146.61600000000004,291414.2,254572.4,2.0308,420054156.0,1.21,348001258.6,151031769.0,245045.0,54676405.0,738.0,0.30179999999999996,0.291,0.9642147117296224
lu_noncontig,32,2048,3247800.8,1.184,12548270.6,146.87400000000002,294144.6,234910.2,1.8721999999999999,419189282.8,1.202,348562158.4,150722162.6,227590.0,54711316.6,738.0,0.303,0.291,0.9603960396039604
lu_noncontig,1,1024,3237241.4,1.1880000000000002,12484246.2,146.69,291729.8,251842.6,2.0172,420604860.4,1.2079999999999997,348183408.0,151027098.2,245272.2,54644501.6,738.0,0.30039999999999994,0.30039999999999994,1.0
lu_noncontig,2,1024,3233679.8,1.176,12535749.2,145.97799999999998,304252.8,243783.2,1.9444,419317318.2,1.212,346399651.8,150490530.8,226626.8,54558064.4,635.8,0.2996,0.30039999999999994,1.0026702269692922
lu_noncontig,4,1024,3238122.6,1.186,12513834.4,145.49599999999998,299302.6,226515.4,1.811,418515643.4,1.2120000000000002,345384107.0,150239465.6,208396.6,54667131.8,635.8,0.2992,0.30039999999999994,1.0040106951871655
lu_noncontig,8,1024,3262848.6,1.19,12524957.4,147.598,299229.0,306770.8,2.4486,417337706.0,1.192,350173416.2,151049625.4,308854.0,54856389.2,738.0,0.33259999999999995,0.30039999999999994,0.9031870114251352
lu_noncontig,16,1024,3252019.0,1.186,12539545.8,147.532,295807.4,276069.6,2.2024,417195733.0,1.192,350174139.8,150499121.2,282232.8,54731896.2,738.0,0.3652,0.30039999999999994,0.822562979189485
lu_noncontig,32,1024,3256276.4,1.1880000000000002,12539196.0,147.238,295705.2,283466.6,2.2602,416759465.0,1.194,349403825.0,150549278.8,283066.0,54836289.6,738.0,0.3,0.30039999999999994,1.0013333333333332
lu_contig,1,512,3060805.6,1.116,1267442.0,143.274,110820.2,57095.6,4.5012,434824416.4,1.28,340117502.4,152439785.8,37988.4,55516228.6,740.0,0.3066,0.3066,1.0
lu_contig,2,512,3150281.0,1.154,1407987.6,144.262,254099.2,62269.0,4.4864,437240302.4,1.28,342464860.8,153705437.4,31586.2,55304534.4,740.0,0.3036,0.3066,1.0098814229249011
