IPC,branch-instructions,branch-misses,branch-miss-rate,cache-misses,cache-miss-rate,cache-references,cycles,instructions,cpu-clock,page-faults,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,run_time,thread,size,workload,speedup
0.87,705241938.2,32202197,4.576,16367922.2,10.4392,156874716,6898250856,6000860954,2949.462,138647.6,2883980914,52463885.4,15393124.4,1.399,1,simmedium,x264,1
0.866,793143498,32100609.4,4.124,16395938.4,10.4826,156442234.6,7286486574,6289649860,3133.452,140270.6,3024043151,53184098.2,16412278.2,0.8106,2,simmedium,x264,1.725882063
0.848,778372050,32442173.8,4.292,16489249,10.3954,158830513,7346424774,6218799244,3160,141811.8,3009224704,53509617.4,15895437.2,0.4624,4,simmedium,x264,3.025519031
0.84,781150022.6,32714240.8,4.234,17375851.8,10.909,159252681.2,7430358742,6243986618,3190.854,144436,3028987647,54086574,16557572.4,0.3556,8,simmedium,x264,3.934195726
0.824,764225156.2,33733785.4,4.442,17397597,10.8232,160754137.6,7558726959,6217365615,3280.47,149640,3002819726,55585817.8,16935992.2,0.3308,16,simmedium,x264,4.229141475
0.808,783448170.8,34474717.4,4.506,18514824.2,11.2072,165223043.6,7818554416,6320440447,3409.222,156078,3049964922,56741550.2,17655865.6,0.649,32,simmedium,x264,2.155624037
1.08,1288466243,67770492.4,5.27,25155891.6,7.0208,358320428.4,14012263784,15141550440,5955.702,143316.4,6961032075,101470294,24947124.6,4.381,1,simlarge,x264,1
1.05,1256784642,66458195.2,5.29,25924007.8,7.3574,352394628.8,14530390479,15272998699,6168.94,140483,6949844729,102832463,25086062.4,2.371,2,simlarge,x264,1.847743568
1.032,1334266671,67053306.4,5.048,26905425.4,7.5762,355193899.4,14993471964,15431933806,6385.352,142241.2,7050260398,103911852,26039411,1.2944,4,simlarge,x264,3.384579728
1.02,1301186709,67867151,5.224,28513154.2,7.962,358231543.2,15041373509,15370727909,6429.52,145567,7039220298,105671189.4,27693916,0.7708,8,simlarge,x264,5.683705241
